Row Sort ID,Control ID,Statement ID,Control Statement,Supplemental Guidance
ac-06.10-,AC-6.10,,Prevent non-privileged users from executing privileged functions.,"Privileged functions include disabling, circumventing, or altering implemented security or privacy controls, establishing system accounts, performing system integrity checks, and administering cryptographic key management activities. Non-privileged users are individuals who do not possess appropriate authorizations. Privileged functions that require protection from non-privileged users include circumventing intrusion detection and prevention mechanisms or malicious code protection mechanisms. Preventing non-privileged users from executing privileged functions is enforced by [AC-3](#ac-3)."
ac-07-,AC-7,,,"The need to limit unsuccessful logon attempts and take subsequent action when the maximum number of attempts is exceeded applies regardless of whether the logon occurs via a local or network connection. Due to the potential for denial of service, automatic lockouts initiated by systems are usually temporary and automatically release after a predetermined, organization-defined time period. If a delay algorithm is selected, organizations may employ different algorithms for different components of the system based on the capabilities of those components. Responses to unsuccessful logon attempts may be implemented at the operating system and the application levels. Organization-defined actions that may be taken when the number of allowed consecutive invalid logon attempts is exceeded include prompting the user to answer a secret question in addition to the username and password, invoking a lockdown mode with limited user capabilities (instead of full lockout), allowing users to only logon from specified Internet Protocol (IP) addresses, requiring a CAPTCHA to prevent automated attacks, or applying user profiles such as location, time of day, IP address, device, or Media Access Control (MAC) address. If automatic system lockout or execution of a delay algorithm is not implemented in support of the availability objective, organizations consider a combination of other actions to help prevent brute force attacks. In addition to the above, organizations can prompt users to respond to a secret question before the number of allowed unsuccessful logon attempts is exceeded. Automatically unlocking an account after a specified period of time is generally not permitted. However, exceptions may be required based on operational mission or need."
ac-07-A,AC-7,A,Enforce a limit of [CCCS Assignment: not more than three] consecutive invalid logon attempts by a user during a [CCCS Assignment: 15 minute time period] ; and,
ac-07-B,AC-7,B,"Automatically [Selection: lock the account or node for [CCCS Assignment: three (3) hours], lock the account or node until released by an administrator, delay next logon prompt per [Assignment: organization-defined delay algorithm], notify system administrator, take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded.",
ac-08-,AC-8,,,"System use notifications can be implemented using messages or warning banners displayed before individuals log in to systems. System use notifications are used only for access via logon interfaces with human users. Notifications are not required when human interfaces do not exist. Based on an assessment of risk, organizations consider whether or not a secondary system use notification is needed to access applications or other system resources after the initial network logon. Organizations consider system use notification messages or banners displayed in multiple languages based on organizational needs and the demographics of system users. Organizations consult with the privacy office for input regarding privacy messaging and the Office of the General Counsel or organizational equivalent for legal review and approval of warning banner content."
ac-08-A,AC-8,A,"Display [Assignment: organization-defined system use notification message or banner] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that:",
ac-08-A.1,AC-8,A.1,Users are accessing a Government of Canada system;,
ac-08-A.2,AC-8,A.2,"System usage may be monitored, recorded, and subject to audit;",
ac-08-A.3,AC-8,A.3,Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and,
ac-08-A.4,AC-8,A.4,"The relevant Personal Information Bank reference, if applicable;",
ac-08-A.5,AC-8,A.5,Legal authority for the collection of personal information;,
ac-08-A.6,AC-8,A.6,Any legal or administrative consequences for refusing to provide the personal information;,
ac-08-A.7,AC-8,A.7,"The rights of access to, correction and protection of personal information;",
ac-08-A.8,AC-8,A.8,How the information will be used; and,
ac-08-A.9,AC-8,A.9,The right to file a complaint to the Privacy Commissioner of Canada regarding the institution's handling of the individual's personal information.,
ac-08-B,AC-8,B,Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and,
ac-08-C,AC-8,C,For publicly accessible systems:,
ac-08-C.1,AC-8,C.1,"Display system use information [Assignment: organization-defined conditions] , before granting further access to the publicly accessible system;",
ac-08-C.2,AC-8,C.2,"Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and",
ac-08-C.3,AC-8,C.3,Include a description of the authorized uses of the system.,
ac-10-,AC-10,,Limit the number of concurrent sessions for each [CCCS Assignment: each account unless justified for operational requirements] to [CCCS Assignment: three (3) sessions for privileged access and two (2) sessions for non-privileged access].,"Organizations may define the maximum number of concurrent sessions for system accounts globally, by account type, by account, or any combination thereof. For example, organizations may limit the number of concurrent sessions for system administrators or other individuals working in particularly sensitive domains or mission-critical applications. Concurrent session control addresses concurrent sessions for system accounts. It does not, however, address concurrent sessions by single users via multiple system accounts."
ac-11-,AC-11,,,"Device locks are temporary actions taken to prevent logical access to organizational systems when users stop work and move away from the immediate vicinity of those systems but do not want to log out because of the temporary nature of their absences. Device locks can be implemented at the operating system level or at the application level. A proximity lock may be used to initiate the device lock (e.g., via a Bluetooth-enabled device or dongle). User-initiated device locking is behavior or policy-based and, as such, requires users to take physical action to initiate the device lock. Device locks are not an acceptable substitute for logging out of systems, such as when organizations require users to log out at the end of workdays."
ac-11-A,AC-11,A,Prevent further access to the system by [CCCS Assignment: initiating a device lock after 15 minutes of inactivity; requiring the user to initiate a device lock before leaving the system unattended] ; and,
ac-11-B,AC-11,B,Retain the device lock until the user reestablishes access using established identification and authentication procedures.,
ac-11.01-,AC-11.1,,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.","The pattern-hiding display can include static or dynamic images, such as patterns used with screen savers, photographic images, solid colors, clock, battery life indicator, or a blank screen with the caveat that controlled unclassified information is not displayed."
ac-12-,AC-12,,Automatically terminate a user session after [CCCS Assignment: 24 hours of inactivity or upon request by the user or whenever this is an identified threat or atypical behaviours].,"Session termination addresses the termination of user-initiated logical sessions (in contrast to [SC-10](#sc-10) , which addresses the termination of network connections associated with communications sessions (i.e., network disconnect)). A logical session (for local, network, and remote access) is initiated whenever a user (or process acting on behalf of a user) accesses an organizational system. Such user sessions can be terminated without terminating network sessions. Session termination ends all processes associated with a user’s logical session except for those processes that are specifically created by the user (i.e., session owner) to continue after the session is terminated. Conditions or trigger events that require automatic termination of the session include organization-defined periods of user inactivity, targeted responses to certain types of incidents, or time-of-day restrictions on system use."
ac-14-,AC-14,,,"Specific user actions may be permitted without identification or authentication if organizations determine that identification and authentication are not required for the specified user actions. Organizations may allow a limited number of user actions without identification or authentication, including when individuals access public websites or other publicly accessible federal systems, when individuals use mobile phones to receive calls, or when facsimiles are received. Organizations identify actions that normally require identification or authentication but may, under certain circumstances, allow identification or authentication mechanisms to be bypassed. Such bypasses may occur, for example, via a software-readable physical switch that commands bypass of the logon functionality and is protected from accidental or unmonitored use. Permitting actions without identification or authentication does not apply to situations where identification and authentication have already occurred and are not repeated but rather to situations where identification and authentication have not yet occurred. Organizations may decide that there are no user actions that can be performed on organizational systems without identification and authentication, and therefore, the value for the assignment operation can be ""none."""
ac-14-A,AC-14,A,Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and,
ac-14-B,AC-14,B,"Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication.",
ac-17-,AC-17,,,"Remote access is access to organizational systems (or processes acting on behalf of users) that communicate through external networks such as the Internet. Types of remote access include dial-up, broadband, and wireless. Organizations use encrypted virtual private networks (VPNs) to enhance confidentiality and integrity for remote connections. The use of encrypted VPNs provides sufficient assurance to the organization that it can effectively treat such connections as internal networks if the cryptographic mechanisms used are implemented in accordance with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Still, VPN connections traverse external networks, and the encrypted VPN does not enhance the availability of remote connections. VPNs with encrypted tunnels can also affect the ability to adequately monitor network communications traffic for malicious code. Remote access controls apply to systems other than public web servers or systems designed for public access. Authorization of each remote access type addresses authorization prior to allowing remote access without specifying the specific formats for such authorization. While organizations may use information exchange and system connection security agreements to manage remote access connections to other systems, such agreements are addressed as part of [CA-3](#ca-3) . Enforcing access restrictions for remote access is addressed via [AC-3](#ac-3)."
ac-17-A,AC-17,A,"Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and",
ac-17-B,AC-17,B,Authorize each type of remote access to the system prior to allowing such connections.,
ac-17.01-,AC-17.1,,Employ automated mechanisms to monitor and control remote access methods.,"Monitoring and control of remote access methods allows organizations to detect attacks and help ensure compliance with remote access policies by auditing the connection activities of remote users on a variety of system components, including servers, notebook computers, workstations, smart phones, and tablets. Audit logging for remote access is enforced by [AU-2](#au-2) . Audit events are defined in [AU-2a](#au-2_smt.a)."
ac-17.02-,AC-17.2,,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,Virtual private networks can be used to protect the confidentiality and integrity of remote access sessions. Transport Layer Security (TLS) is an example of a cryptographic protocol that provides end-to-end communications security over networks and is used for Internet communications and online transactions.
ac-17.03-,AC-17.3,,Route remote accesses through authorized and managed network access control points.,Organizations consider the Trusted Internet Connections (TIC) initiative [DHS TIC](#4f42ee6e-86cc-403b-a51f-76c2b4f81b54) requirements for external network connections since limiting the number of access control points for remote access reduces attack surfaces.
ac-17.04-,AC-17.4,,,"Remote access to systems represents a significant potential vulnerability that can be exploited by adversaries. As such, restricting the execution of privileged commands and access to security-relevant information via remote access reduces the exposure of the organization and the susceptibility to threats by adversaries to the remote access capability."
ac-17.04-A,AC-17.4,A,Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: [Assignment: organization-defined organization-defined needs] ; and,
ac-17.04-B,AC-17.4,B,Document the rationale for remote access in the security plan for the system.,
ac-17.09-,AC-17.9,,Provide the capability to disconnect or disable remote access to the system within [CCCS Assignment: a period no greater than 15 minutes].,The speed of system disconnect or disablement varies based on the criticality of missions or business functions and the need to eliminate immediate or future remote access to systems.
ac-18-,AC-18,,,"Wireless technologies include microwave, packet radio (ultra-high frequency or very high frequency), 802.11x, and Bluetooth. Wireless networks use authentication protocols that provide authenticator protection and mutual authentication."
ac-18-A,AC-18,A,"Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and",
ac-18-B,AC-18,B,Authorize each type of wireless access to the system prior to allowing such connections.,
ac-18.01-,AC-18.1,,"Protect wireless access to the system using authentication of [Selection: users, devices] and encryption.","Wireless networking capabilities represent a significant potential vulnerability that can be exploited by adversaries. To protect systems with wireless access points, strong authentication of users and devices along with strong encryption can reduce susceptibility to threats by adversaries involving wireless technologies."
ac-18.03-,AC-18.3,,"Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.",Wireless networking capabilities that are embedded within system components represent a significant potential vulnerability that can be exploited by adversaries. Disabling wireless capabilities when not needed for essential organizational missions or functions can reduce susceptibility to threats by adversaries involving wireless technologies.
ac-19-,AC-19,,,"A mobile device is a computing device that has a small form factor such that it can easily be carried by a single individual; is designed to operate without a physical connection; possesses local, non-removable or removable data storage; and includes a self-contained power source. Mobile device functionality may also include voice communication capabilities, on-board sensors that allow the device to capture information, and/or built-in features for synchronizing local data with remote locations. Examples include smart phones and tablets. Mobile devices are typically associated with a single individual. The processing, storage, and transmission capability of the mobile device may be comparable to or merely a subset of notebook/desktop systems, depending on the nature and intended purpose of the device. Protection and control of mobile devices is behavior or policy-based and requires users to take physical action to protect and control such devices when outside of controlled areas. Controlled areas are spaces for which organizations provide physical or procedural controls to meet the requirements established for protecting information and systems.

Due to the large variety of mobile devices with different characteristics and capabilities, organizational restrictions may vary for the different classes or types of such devices. Usage restrictions and specific implementation guidance for mobile devices include configuration management, device identification and authentication, implementation of mandatory protective software, scanning devices for malicious code, updating virus protection software, scanning for critical software updates and patches, conducting primary operating system (and possibly other resident software) integrity checks, and disabling unnecessary hardware.

Usage restrictions and authorization to connect may vary among organizational systems. For example, the organization may authorize the connection of mobile devices to its network and impose a set of usage restrictions, while a system owner may withhold authorization for mobile device connection to specific applications or impose additional usage restrictions before allowing mobile device connections to a system. Adequate security for mobile devices goes beyond the requirements specified in [AC-19](#ac-19) . Many safeguards for mobile devices are reflected in other controls. [AC-20](#ac-20) addresses mobile devices that are not organization-controlled."
ac-19-A,AC-19,A,"Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and",
ac-19-B,AC-19,B,Authorize the connection of mobile devices to organizational systems.,
ac-19.05-,AC-19.5,,"Employ [Selection: full-device encryption, container-based encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].","Container-based encryption provides a more fine-grained approach to data and information encryption on mobile devices, including encrypting selected data structures such as files, records, or fields."
