Row Sort ID,Control ID,Statement ID,Control Statement,Supplemental Guidance
cm-03-,CM-3,,,"Configuration change control for organizational systems involves the systematic proposal, justification, implementation, testing, review, and disposition of system changes, including system upgrades and modifications. Configuration change control includes changes to baseline configurations, configuration items of systems, operational procedures, configuration settings for system components, remediate vulnerabilities, and unscheduled or unauthorized changes. Processes for managing configuration changes to systems include Configuration Control Boards or Change Advisory Boards that review and approve proposed changes. For changes that impact privacy risk, the senior agency official for privacy updates privacy impact assessments and system of records notices. For new systems or major upgrades, organizations consider including representatives from the development organizations on the Configuration Control Boards or Change Advisory Boards. Auditing of changes includes activities before and after changes are made to systems and the auditing activities required to implement such changes. See also [SA-10](#sa-10)."
cm-03-A,CM-3,A,Determine and document the types of changes to the system that are configuration-controlled;,
cm-03-B,CM-3,B,Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses;,
cm-03-C,CM-3,C,Document configuration change decisions associated with the system;,
cm-03-D,CM-3,D,Implement approved configuration-controlled changes to the system;,
cm-03-E,CM-3,E,Retain records of configuration-controlled changes to the system for [CCCS Assignment: at least 90 days];,
cm-03-F,CM-3,F,Monitor and review activities associated with configuration-controlled changes to the system; and,
cm-03-G,CM-3,G,"Coordinate and provide oversight for configuration change control activities through [Assignment: organization-defined configuration change control element] that convenes [Selection: [Assignment: organization-defined frequency], when [Assignment: organization-defined configuration change conditions]].",
cm-06-,CM-6,,,"Configuration settings are the parameters that can be changed in the hardware, software, or firmware components of the system that affect the security and privacy posture or functionality of the system. Information technology products for which configuration settings can be defined include mainframe computers, servers, workstations, operating systems, mobile devices, input/output devices, protocols, and applications. Parameters that impact the security posture of systems include registry settings; account, file, or directory permission settings; and settings for functions, protocols, ports, services, and remote connections. Privacy parameters are parameters impacting the privacy posture of systems, including the parameters required to satisfy other privacy controls. Privacy parameters include settings for access controls, data processing preferences, and processing and retention permissions. Organizations establish organization-wide configuration settings and subsequently derive specific configuration settings for systems. The established settings become part of the configuration baseline for the system.

Common secure configurations (also known as security configuration checklists, lockdown and hardening guides, and security reference guides) provide recognized, standardized, and established benchmarks that stipulate secure configuration settings for information technology products and platforms as well as instructions for configuring those products or platforms to meet operational requirements. Common secure configurations can be developed by a variety of organizations, including information technology product developers, manufacturers, vendors, federal agencies, consortia, academia, industry, and other organizations in the public and private sectors.

Implementation of a common secure configuration may be mandated at the organization level, mission and business process level, system level, or at a higher level, including by a regulatory agency. Common secure configurations include the United States Government Configuration Baseline [USGCB](#98498928-3ca3-44b3-8b1e-f48685373087) and security technical implementation guides (STIGs), which affect the implementation of [CM-6](#cm-6) and other controls such as [AC-19](#ac-19) and [CM-7](#cm-7) . The Security Content Automation Protocol (SCAP) and the defined standards within the protocol provide an effective method to uniquely identify, track, and control configuration settings."
cm-06-A,CM-6,A,"Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [CCCS Assignment: checklists from one or more of the following: Center for Internet Security (CIS), National Institute of Standards and Technology (NIST), Defense Information Systems Agency (DISA)];",
cm-06-B,CM-6,B,Implement the configuration settings;,
cm-06-C,CM-6,C,"Identify, document, and approve any deviations from established configuration settings for [CCCS Assignment: any information system component] based on [Assignment: organization-defined operational requirements] ; and",
cm-06-D,CM-6,D,Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.,
cm-07.05-,CM-7.5,,,"Authorized software programs can be limited to specific versions or from a specific source. To facilitate a comprehensive authorized software process and increase the strength of protection for attacks that bypass application level authorized software, software programs may be decomposed into and monitored at different levels of detail. These levels include applications, application programming interfaces, application modules, scripts, system processes, system services, kernel functions, registries, drivers, and dynamic link libraries. The concept of permitting the execution of authorized software may also be applied to user actions, system ports and protocols, IP addresses/ranges, websites, and MAC addresses. Organizations consider verifying the integrity of authorized software programs using digital signatures, cryptographic checksums, or hash functions. Verification of authorized software can occur either prior to execution or at system startup. The identification of authorized URLs for websites is addressed in [CA-3(5)](#ca-3.5) and [SC-7](#sc-7)."
cm-07.05-A,CM-7.5,A,Identify [CCCS Assignment: authorized software programs in baseline configuration and information system component inventory];,
cm-07.05-B,CM-7.5,B,"Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and",
cm-07.05-C,CM-7.5,C,Review and update the list of authorized software programs [CCCS Assignment: at least quarterly or when there is a change].,
cp-02.03-,CP-2.3,,Plan for the resumption of [CCCS Assignment: all] mission and business functions within [CCCS Assignment: 24 hours] of contingency plan activation.,Organizations may choose to conduct contingency planning activities to resume mission and business functions as part of business continuity planning or as part of business impact analyses. Organizations prioritize the resumption of mission and business functions. The time period for resuming mission and business functions may be dependent on the severity and extent of the disruptions to the system and its supporting infrastructure.
cp-09-,CP-9,,,"System-level information includes system state information, operating system software, middleware, application software, and licenses. User-level information includes information other than system-level information. Mechanisms employed to protect the integrity of system backups include digital signatures and cryptographic hashes. Protection of system backup information while in transit is addressed by [MP-5](#mp-5) and [SC-8](#sc-8) . System backups reflect the requirements in contingency plans as well as other organizational requirements for backing up information. Organizations may be subject to laws, executive orders, directives, regulations, or policies with requirements regarding specific categories of information (e.g., personal health information). Organizational personnel consult with the senior agency official for privacy and legal counsel regarding such requirements."
cp-09-A,CP-9,A,Conduct backups of user-level information contained in [Assignment: organization-defined system components] [CCCS Assignment: daily incremental; weekly full];,
cp-09-AA,CP-9,AA,The organization determines retention periods for essential business information and archived backups.,
cp-09-B,CP-9,B,Conduct backups of system-level information contained in the system [CCCS Assignment: daily incremental; weekly full];,
cp-09-C,CP-9,C,"Conduct backups of system documentation, including security- and privacy-related documentation [CCCS Assignment: daily incremental; weekly full] ; and",
cp-09-D,CP-9,D,"Protect the confidentiality, integrity, and availability of backup information.",
cp-09.07-,CP-9.7,,Enforce dual authorization for the deletion or destruction of [Assignment: organization-defined backup information].,"Dual authorization ensures that deletion or destruction of backup information cannot occur unless two qualified individuals carry out the task. Individuals deleting or destroying backup information possess the skills or expertise to determine if the proposed deletion or destruction of information reflects organizational policies and procedures. Dual authorization may also be known as two-person control. To reduce the risk of collusion, organizations consider rotating dual authorization duties to other individuals."
ia-02.01-,IA-2.1,,Implement multi-factor authentication for access to privileged accounts.,"Multi-factor authentication requires the use of two or more different factors to achieve authentication. The authentication factors are defined as follows: something you know (e.g., a personal identification number [PIN]), something you have (e.g., a physical authenticator such as a cryptographic private key), or something you are (e.g., a biometric). Multi-factor authentication solutions that feature physical authenticators include hardware authenticators that provide time-based or challenge-response outputs and smart cards such as the U.S. Government Personal Identity Verification (PIV) card or the Department of Defense (DoD) Common Access Card (CAC). In addition to authenticating users at the system level (i.e., at logon), organizations may employ authentication mechanisms at the application level, at their discretion, to provide increased security. Regardless of the type of access (i.e., local, network, remote), privileged accounts are authenticated using multi-factor options appropriate for the level of risk. Organizations can add additional security measures, such as additional or more rigorous authentication mechanisms, for specific types of access."
ia-03-,IA-3,,"Uniquely identify and authenticate [Assignment: organization-defined devices and/or types of devices] before establishing a [Selection: local, remote, network] connection.","Devices that require unique device-to-device identification and authentication are defined by type, device, or a combination of type and device. Organization-defined device types include devices that are not owned by the organization. Systems use shared known information (e.g., Media Access Control [MAC], Transmission Control Protocol/Internet Protocol [TCP/IP] addresses) for device identification or organizational authentication solutions (e.g., Institute of Electrical and Electronics Engineers (IEEE) 802.1x and Extensible Authentication Protocol [EAP], RADIUS server with EAP-Transport Layer Security [TLS] authentication, Kerberos) to identify and authenticate devices on local and wide area networks. Organizations determine the required strength of authentication mechanisms based on the security categories of systems and mission or business requirements. Because of the challenges of implementing device authentication on a large scale, organizations can restrict the application of the control to a limited number/type of devices based on mission or business needs."
ir-04.03-,IR-4.3,,Identify [Assignment: organization-defined classes of incidents] and take the following actions in response to those incidents to ensure continuation of organizational mission and business functions: [Assignment: organization-defined actions to take in response to classes of incidents].,"Classes of incidents include malfunctions due to design or implementation errors and omissions, targeted malicious attacks, and untargeted malicious attacks. Incident response actions include orderly system degradation, system shutdown, fall back to manual mode or activation of alternative technology whereby the system operates differently, employing deceptive measures, alternate information flows, or operating in a mode that is reserved for when systems are under attack. Organizations consider whether continuity of operations requirements during an incident conflict with the capability to automatically disable the system as specified as part of [IR-4(5)](#ir-4.5)."
ir-07.02-,IR-7.2,,,"External providers of a system protection capability include the Computer Network Defense program within the U.S. Department of Defense. External providers help to protect, monitor, analyze, detect, and respond to unauthorized activity within organizational information systems and networks. It may be beneficial to have agreements in place with external providers to clarify the roles and responsibilities of each party before an incident occurs."
ir-07.02-A,IR-7.2,A,"Establish a direct, cooperative relationship between its incident response capability and external providers of system protection capability; and",
ir-07.02-B,IR-7.2,B,Identify organizational incident response team members to the external providers.,
ir-09.02-,IR-9.2,,Provide information spillage response training [CCCS Assignment: at least annually].,Organizations establish requirements for responding to information spillage incidents in incident response plans. Incident response training on a regular basis helps to ensure that organizational personnel understand their individual responsibilities and what specific actions to take when spillage incidents occur.
ma-03.03-,MA-3.3,,Prevent the removal of maintenance equipment containing organizational information by:,Organizational information includes all information owned by organizations and any information provided to organizations for which the organizations serve as information stewards.
ma-03.03-A,MA-3.3,A,Verifying that there is no organizational information contained on the equipment;,
ma-03.03-B,MA-3.3,B,Sanitizing or destroying the equipment;,
ma-03.03-C,MA-3.3,C,Retaining the equipment within the facility; or,
ma-03.03-D,MA-3.3,D,Obtaining an exemption from [CCCS Assignment: the information owner] explicitly authorizing removal of the equipment from the facility.,
ma-04.06-,MA-4.6,,Implement the following cryptographic mechanisms to protect the integrity and confidentiality of nonlocal maintenance and diagnostic communications: [Assignment: organization-defined cryptographic mechanisms].,"Failure to protect nonlocal maintenance and diagnostic communications can result in unauthorized individuals gaining access to organizational information. Unauthorized access during remote maintenance sessions can result in a variety of hostile actions, including malicious code insertion, unauthorized changes to system parameters, and exfiltration of organizational information. Such actions can result in the loss or degradation of mission or business capabilities."
mp-02-,MP-2,,Restrict access to [CCCS Assignment: all types of digital and/or non-digital media containing sensitive information] to [Assignment: organization-defined organization-defined personnel or roles].,"System media includes digital and non-digital media. Digital media includes flash drives, diskettes, magnetic tapes, external or removable hard disk drives (e.g., solid state, magnetic), compact discs, and digital versatile discs. Non-digital media includes paper and microfilm. Denying access to patient medical records in a community hospital unless the individuals seeking access to such records are authorized healthcare providers is an example of restricting access to non-digital media. Limiting access to the design specifications stored on compact discs in the media library to individuals on the system development team is an example of restricting access to digital media."
mp-03-,MP-3,,,"Security marking refers to the application or use of human-readable security attributes. Digital media includes diskettes, magnetic tapes, external or removable hard disk drives (e.g., solid state, magnetic), flash drives, compact discs, and digital versatile discs. Non-digital media includes paper and microfilm. Controlled unclassified information is defined by the National Archives and Records Administration along with the appropriate safeguarding and dissemination requirements for such information and is codified in [32 CFR 2002](#91f992fb-f668-4c91-a50f-0f05b95ccee3) . Security markings are generally not required for media that contains information determined by organizations to be in the public domain or to be publicly releasable. Some organizations may require markings for public information indicating that the information is publicly releasable. System media marking reflects applicable laws, executive orders, directives, policies, regulations, standards, and guidelines."
mp-03-A,MP-3,A,"Mark system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and",
mp-03-B,MP-3,B,Exempt [CCCS Assignment: no removable media types] from marking if the media remain within [Assignment: organization-defined controlled areas].,
pl-04-,PL-4,,,"Rules of behavior represent a type of access agreement for organizational users. Other types of access agreements include nondisclosure agreements, conflict-of-interest agreements, and acceptable use agreements (see [PS-6](#ps-6) ). Organizations consider rules of behavior based on individual user roles and responsibilities and differentiate between rules that apply to privileged users and rules that apply to general users. Establishing rules of behavior for some types of non-organizational users, including individuals who receive information from federal systems, is often not feasible given the large number of such users and the limited nature of their interactions with the systems. Rules of behavior for organizational and non-organizational users can also be established in [AC-8](#ac-8) . The related controls section provides a list of controls that are relevant to organizational rules of behavior. [PL-4b](#pl-4_smt.b) , the documented acknowledgment portion of the control, may be satisfied by the literacy training and awareness and role-based training programs conducted by organizations if such training includes rules of behavior. Documented acknowledgements for rules of behavior include electronic or physical signatures and electronic agreement check boxes or radio buttons."
pl-04-A,PL-4,A,"Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities and expected behavior for information and system usage, security, and privacy;",
pl-04-B,PL-4,B,"Receive a documented acknowledgment from such individuals, indicating that they have read, understand, and agree to abide by the rules of behavior, before authorizing access to information and the system;",
pl-04-C,PL-4,C,Review and update the rules of behavior [CCCS Assignment: at least every 3 years] ; and,
